Scam Record,Content
226,"This happened more than a year ago. Usually I don't prefer to speak over telephone much, that's a general rule. In case of spam calls, I say, “Thank you but just at this moment, I'm not interested” kind of stuff and disconnect immediately. But occasionally when I become a bit cranky, this happens 👇.
Guy over telephone : Sir I am Mr. XXXX calling from company ABC LTD. Just for you, our company is providing an excellent one time investment offer. Are you interested?
Me : Go on. I am listening.
Guy : The scheme is if you invest 5 lakhs Rs in our company, you will receive 10 thousands Rs each month"
227,"The scammers said that my SSN had been tied to cartel drugs, and they were going to come and arrest me. I said, “okay, I’m right here and ready…go ahead and send your officers over.” I knew of course, there wasn’t a chance in the world this was true, so I just played right along letting him know I thought for sure it could be straightened out, so just have the officers proceed to my home address."
228,"After school one day I got a call from an unknown number… I picked up, because you never know when your going to be eligible for a free Hawaiian cruise if you verify your credit card information. Anyway this guy in an Indian accent says “Hello my friend would you like to save up to 10% on your bank loans?” I put in my best deep southern accent and say yes. “We will start with a short survey,” he replied. “Do you owe any money to the IRS?”
“No,” etc
Anyway
Him: Could you please verify the cc number and the CVC on your MasterCard?
Me: (in normal voice) you realize I’m 13."
229,"My response: “Make an offer, or else be done with it.”
Him probably thinking: This is not in my script how do I respond to this?
Me plotting: Whatever he comes up with, I am definitely not going to accept it.
Him: “We’ll send you an offer sir.”
*This is how you know it’s a scam, because the shill doesn’t know that the confidence trick isn’t a legitimate business offer. A business proposal always has context that favors the seller's products and services and educates the buyer about the capabilities of the seller in satisfying their needs. During the phone conversation none of that was mentioned. T"
230,"Not necessarily the oddest, but definitely the silliest: apparently I had overdue taxes (the call was in January) and the only way I was allowed to pay was by using Apple iTunes gift cards. The amount I owed was astonishingly a perfect multiple, to the exact cent, of these card values. “Do it right now,” he said, “or I will call the police. Do you want that, Mr. Sean sir?”
Goodness - the police? For overdue taxes? My my, I must owe a LOT of taxes.
At least try, man. Show me some damned effort. If you ask me to give you a reach-around, at least give me the common courtesy of showing just a little"
231,"Years ago, one scammer had conned me into sending him $200.00 for a rental that was unbelievable (apparently, it really was!). When I realized he was from Nigeria scamming my ass, the next time he called for another payment, I blasted my trumpet into the phone until he hung up.
We decided to go from the harassed, to the harassers. My husband would call him (blocking our number) and when the Nigerian answered, husband would hold the phone away and scream, “I heard his voice coming from over there. Keep him talking so I can get em!!” After that, the guy never answered his phone. We had to pay an"
232,"(All ‘sic’- caller not a native English speaker- typed as heard)
“Hello, I am call from TalkTalk, your internet provider. We are detect many error on your line.”.
“Oh, really? Oh dear. Right, how can I fix it?”
“We will need access by remote. First we need to confirm your identity. Could please you give home address?”
“Sure. Ronald Reagan, 27 White House, Bath, UK”
“OK thank you sir. And email address please”
“I’ll spell it letter by letter for you: O-B-V-I-O-U-S-S-C-A-M at Gmail.com”"
233,"Mine was accidental, really. It was a warm summer’s evening, at a weekend I think. I was on my own at home, feeling very relaxed. This was maybe 15 years ago, more innocent times. The phone rang, it was some woman talking about an offer. For some reason, we just hit it off. I live in the Outer Hebrides so that’s always a talking point. So we just ended up chatting away, on and on, about all sorts of stuff, like we were actually friends. I was lying back in an easy chair in the cottage’s little sitting room. Probably 20 minutes, maybe 30 passed
Then, what seemed like out of the blue, she asked f"
234,"I got a call from a scammer saying I’d be getting a government grant. I was about 20 at the time, hadn’t applied for any grants and wasn’t doing anything that you’d generally get a grant for, so I was suspicious. I asked why I was getting a grant. The scammer hemmed and hawed for a bit and then said it was because I paid all of my bills on time. Since I was a college student living paycheck to paycheck, I didn’t always pay everything on time and I knew it, so without missing a beat, I replied, “Well, actually I don’t.” He had no idea what to say to that, so I ended the conversation and went ab"
235,"I had one with a person who was attempting to get me to buy into some hot new stock or other. I heard him out, then asked if this was such a good deal, why hasn’t he bought up all the available stock already? I let him bluster on for a bit, then I said something like “ok, let me see if I understand this. You want me to send you five thousand dollars, and after a year goes by, you’ll maybe give me some of it back? Would you take that deal? After all if the deal is good for me it should be good for you, no?”*
More bluster then he hung up. A few minutes later he called back, and started to lecture"
236,"WE ARE A pension agency
we have been trying to locate you 3 years
in 1986 you contracted out the pension scheme
now in 2020 you will be awarded your pension at 55 years old
12 years early
me: ok give me your head office contact number
rang office and was put through to a manager.
anyway after calling him all the names under the sun, can’t print those words here, it turn out true"
237,"Oh those scammers they can be sweet as pie or mean as thugs!
a few years ago I worked at a local hospital/ I kept getting some weird calls but never paid attention to them. I was on my lunch break one day and answered the call. Some Indian dude was telling me he had $5000 US dollars for me . When I inquired why he had that money for me he said it was a gift . I’m a little sketched out so I say well why? He tells me that it’s just a gift . Then he asks for my social security number for their “tax records” I wouldn’t give it he tells me he absolutely must in order to receive yourb$5000. I ask him"
238,"For a while I was getting phone calls from people who scam social security recipients. I wanted to have some fun so I played along. He started out by saying my social security had been frozen due to suspicious activity. I pretended to be aghast. He said he could unlock the account. I pretended to be grateful. Then he asked me for my full name. I said: “It’s just like it says there in front of you.” He said: “But we need to verify it.” I said: “Obviously it’s verified, it’s my account that’s locked and you called me. You got me. Is it my account that’s locked or isn’t it?” He said: “Most defini"
239,"“Hello?”
Robocall realizes that I’ve picked up the phone: Pause.
Scammer: “Hi, I’m calling from Duct Cleaning Services of Ontario.”
Me: “Oh, interesting. I’ve been looking to get my ducts cleaned for some time.”
Excited scammer with Indian accent: “Oh yes sir, can you describe the situation at your home with your ducts? How can I help you?”
Me: “Well, actually, I get constipation from time to time.”
Pause.
Scammer: “Well sir, we would like to help you and clean out your ducts.”"
240,"So, my interaction with scammers has been on dating apps.
And most of them are odd because I get very specific. I ask them what they thought of the latest Handmaid’s Tale episode. I’ll ask them what they think of the sport of curling. I ask them if they were planning on watching Stranger Things 3.
Because many of these scammers are not from the States, but from Nigeria it’s fun to hear how their lac"
241,"I got a call in about 2015 from someone who was either selling cheaper mortgages or some deal on student loans, and the conversation went like this:
Caller: Hi, how are you! We are working here “alongside President Obama” to offer you the best rate (or the best deal) on such and such mortgage, and we ..
I (interrupting him): Wait excuse me, did you just say you are working “alongside President Obama” ?
Caller: Yes, indeed, and we are offering you the best rate on ….
I (interrupting again): Well, then, if you are working alongside President Obama, could you just put him on the line? I really would"
242,"The most fun response to scammers I have is the one when they call me asking about the “car accident I had”.
My new stock answer is “Which one? There was the one last week when I rear ended another car. Or was it last month when I crashed into that shop. Or was it the one where I ran over that police officer - he wasn’t happy!”*.
At that point, they usually hang up (how rude!). Sometimes they put me through to their manager, at which point I will usually have a nice cathartic rant about their career choices, parentage, personal hygiene, and anything else I can think of until they hang up. It doe"
243,"Selling conservatories via phone call.
Hi would you like a conservatory
Yes would love one when can you come round
When ever it suits you
How about tomorrow night around 7pm.
Ok what's the address
f
Flat 4 ????? road
See you then"
244,"Yeah, helped a colleague to stay afloat..
India, one fine day in the ofc at work, searching for my colleague who's busy on the phone and tensed
Guy on phone says, she's had her Visa Credit Card being debited of 7K INR cos of some stupid reasons, enough to get my ears stand up.
Scammer only refers to as The Bank, not willing to give a name, just mentions Visa Cc, which gets me laughing my head off.
He disconnects and calls back to again at which I pick the phone and say the husband is now speaking but scammer wants to speak to her only cos it's confidential and involves a huge amount of cash …lol…
F"
245,"I hate telephone scammers, so I love to mess with their minds. This happened last weekend at my parents house:
Cold Caller (CC): Hello, is that Mr Jones?
Me (in a bad Yorkshire accent): Aye.
CC: (Launches into blurb about boiler insurance and how my parents have the wrong kind of insurance and how my parents need their help - for some money)
Me: Well, that's right odd. We don't have a boiler. We sell pidgeons.
CC:...I'm sorry??
Me: We sell pidgeons. Would you like one? I can do you a good deal on one called Gerald. Now, he's only got one leg so you can only send short messages, but because he's only"
246,"“Hello, is this Laya Robins?”
“Ummm, wait who-“
“OK great! I’ve heard you have a problem with your device, so I’m going to help you.”
“Oh your those dudes from Telstra, great! I’ve been waiting for this call!”
“Excellent excellent… First just-“
“Oh wait, can you call me on my other number, it’s 605–475–6968” I smirked
“Ok, talk soon”"
247,I had a call recently from Washington DC . The caller informed me that I had been approved for a 5000 dollar loan to be paid back in monthly installments for 2 years. The caller asked if that was something I was interested in so I said “sure.” He then informed me that for an additional 11 dollars a month the loan could be increased an additional 2500 dollars. The 11 dollars for 24 months is 264 dollars. The caller had not taken the time to do the math and busted himself as a scammer! I told him that God had told me to give him a message that he had to stop stealing from people immediately. The
248,"Not necessarily a scammer but a telemarketer trying to sell conservatories. Well after listening to his spiel and not being able to get a word in, I agreed for a Salesman to come to my home to discuss further. The telemarketer obviously thought success and carried on with arranging the appointment, nailing a time and date for the salesman to come and finally when he was finished and caught his breath asked me if I had any questions.
I asked him was it possible to fit a conservatory to a first floor flat and how did they manage it, to which I was accused of wasting his time.
NO I REPLIED by no"
249,"The oddest so far was after I busted the scammer, “J*** F***”, by informing a lawyer in Florida and a Family Court Magistrate in Tennessee that some guy with a cell phone was impersonating them. I also reported to the County Sheriff about the scamster’s mail drop in Texas. The Sheriff said “I know that lady! She’s 103 years old!”
A few weeks after this the scamster called me up on the phone. He wasn’t looking for money any more. He just wanted to talk. We had a friendly conversation, no bullshit. He said he hoped we could meet some day. I said I would like that, and maybe we would laugh about a"
250,"*Phone Rings and I answer*
R is this so called Robert from pch
D is David aka me
R is also very drunk or high I couldn’t tell which one but he was slurring his words badly
R: Hello Sir! I’m Robert from Publishers Clearing House. I’m call about a prize that you have won.
D: Ok. Cut the bullshit. What do you really want. You want money? Too bad. Stop scamming people.
R: I’m not scamming people. You have won $1m."
251,"This was a series of phone calls and I was actually worried but caught on soon.
I was a subscriber of Hathway Internet services couple of years ago. When I moved to new place, I had to switch subscribers since Hathway did not provide services in my area.
I returned the router to Hathway, got a signed copy that my account has been closed. Or so I thought. Months later I got an email with a bill of ₹25,000 ($360). I called them up and told them my account was closed.
Then, the series of scammer call started. Initially it was a weekly basis, saying my outstanding was due, and if I didn't pay they wo"
252,"Not so much the oddest conversation, but odd results.
Usually when telephone scammers call, I tell them that what they are doing is wrong, that their children will be ashamed of what they have done, and that they are bad people and should change what they do.
I had one feisty one point out that there was some justice in his poverty-stricken ass fleecing rich Americans (I’m Canadian, but whatever). I pointed out to him that most of his victims have been made weak by age or mental debility, and also that theft is theft.
His English was good and he turned out to be carrying a lot of rage. He really"
253,"I told them that I didn’t need car insurance because I had terminal cancer. I didn’t do this to be offensive to those who do, nor because I have it (because I don’t) but because I wanted to see how they would respond.
The person on the other side of the phone was caught off guard, they didn’t quite understand the meaning of what I said and so they asked me to repeat myself and so I did. I explained that I was going to die to soon so there was no reason for me to get insurance. There was silence for about 3 - 4 seconds and then the person abruptly said I’m sorry for your loss and hung up.
I’m not"
254,"My husband got one of these, well several, but I was standing there for this one. Keep in mind he’s a network/ computer repair and consultant so he has the actual Dell number in his phone.
Guy: how is your day going?
Hubs: fine until you called.
Guy is telling him his computer is infected.
Hubs: oh no! Can I spray Lysol on it to fix it?
Guy says yes and tries to get him to turn it on and such.
Hubs: I thought I can just use Lysol… oh ok. Yeah I do have that kind of computer. Like 16 of them. Oh they’re in my lab but they’ve never been on the internets…"
255,"I’ve had more than a few of the fake Microsoft calls.
I have two possible solutions.
Both involve stringing them along for a while, saying I can’t find what they tell me to look for. I can hear from their tone of voice that they are getting annoyed.
Then I say one of two things.
Either ‘ Did you say you were from Microsoft?’ and of course they say yes. So then I say ‘Oh so sorry for wasting your time, I have an Apple Macbook’. They hang up.
Or, I say I work for Microsoft too and I am evaluating Microsoft customer support staff. I ask their name, what location they are in and ask them to make an app"
256,"I’ve had a couple odd conversations and emails in my lifetime.
Inbox .com: Reliable Email Provider, Inbox Email & Resource Center | inbox.com
I used to have an inbox email address, it fitted all of the different needs for the time i had it. i had to switch over to gmail after receiving an email from the “FBI.” i was being scammed/blackmailed into giving over 2,500.00 to make sure i didn’t get onto the FBI’s most wanted list.
Needless to say this didn’t happen. I switched over to Gmail."
257,"I wanted to cancel a scam contract with a computer company. I found out the company was a sham when I went and did an on-line search after the fact. A bunch of people posted how they were scammed out of $100’s of dollars. So I contacted the company to cancel the contract telling them I changed my mind which they told me I could do when they sold me the contract, What they did not tell me is that I"
258,"I used to get the Windows Support calls from time to time.
How generous of them to offer Windows Support on my iMac.
The game, of course, was to string them along and tie them up for as long as possible.
Usually, I would try to follow their instructions step by step, but somehow could never get it quite right. If they needed account information or a name, I’d ask them to hold on while I fumbled around for my bankbook. And then had to find a pen.
I’d have difficulty understanding them and get easily sidetracked with ADD conversations, or the sound would get echo-ey and then they would hear my toile"
259,"Well this wasn’t a call with a telephone scammer, but an actual conversation face-to-face.
My father wanted to sell his laptop so he put it on a well known Indian e-commerce site( Olx.com). Unfortunately, this attracted few scammers.
Immediately he got a reply from one person( Let’s call him A) This was NOT the person he had the conversation with.
A requested him to ship it to his girlfriend who lived far away. The deal was cash only too, to prevent getting stolen funds. So he refused.
Offer number one was dashed."
260,"A scammer is someone trying to cheat you. A telemarketer is someone trying to sell you something, a product or service. The first is illegal, the second is annoying but not illegal though it may violate DO NOT CALL registries.
I can understand people taking scammers round the garden path and having fun while doing it. But why the same treatment for telemarketers doing a job even though it may piss you off. Why not just say “Sorry. Not interested”, hang up and block the caller. I do that all the time.
Treating criminals and legitimate workers the same way is grossly disproportionate.
We had rented"
261,"It’s pretty bad that I have more “spam” contacts listed on my cell phone then regular contacts. And that’s what I list it as. Each contact has the ability for 4 phone numbers and I have 63 contacts listed as spam over the last 4 years I’ve been with the provider.
As for my story, I’m pretty good at computers. Started getting my tech degree until my condition got too bad for me to continue with school. But that doesn’t mean I allowed myself to stop learning. That’s why I found it funny that I got a call from India that was from “Microsoft” stating that my computer was infected and it was infecti"
262,"TLDR: I got a robo call from a scammer company and at the end of the call he called me a b**** and hung up.
A scammer company robo called me a few weeks ago, and a recording told me they could save me money by lowering my interest on my credit card, and to press “1” to be connected with a specialist. I pressed “1” :) and was connected with a person. I asked what company he worked for and he said it was for a major company that services accounts like Visa, Mastercard, or Express. I said, well, I don’t have any of those as a credit card (the credit cards I have are for specific companies, which a"
263,"Juat happened a few hours ago. A scammer allegedly saying I was selected to consolidate my credit or some sort. It started as a recording and said press 1 to speak with a rep, but didn't offer a way to be removed from the list. This was the 8th time I had received this scam call in the paat two weeks, so I'd had enough and pressed 1.
The first guy said he couldn't remove me from the list as he has no control over it. I requested to speak to the supervisor. The supervisor said thst they could remove me but that I'd have to PAY to be removed from their calling list. After yelling into the phone t"
264,"In the UK we get a lot of cold callers/scammers trying to get us to buy electricity from them. My previous managers messed with them no end and it was hilarious, and I seem to have to picked this is from him.
So……one day, a guy rings asking about electricity. I told him we didn't have electricity. And would you know he wouldn't believe me. I told him we were coal powered like the old days, I don't think he knew what that meant, very odd indeed. He gave up in the end.
My colleagues were absolutely wetting themselves laughing and still talk about it now. I don't get many chances to mess with them"
265,"I once answered questions of innocently looking online survey and from then was harassed by scammer calls. My friend told me that if I want to get rid off them , I should not mean or hanging up. Just picking up the call and politely give ridiculous answers.
It actually worked !
My favorite is…
Scammer
Hello my name is Daniel are you interested in investing your money and doubling the amount ?
Me"
266,"What is the oddest conversation you've had with a telephone scammer?
I wouldn’t say it was a conversation, exactly…
A man called selling aluminum siding. A classic.
I told him that his timing was perfect, since we were not only thinking of re-siding our primary residence, but also our vacation home at the beach. BUT.. my wife was taking down details from various vendors and we needed to have her on the phone with us. She was upstairs with our daughter, little Suzie, just finishing a bath. Could he hang on until she came down?
“Sure.”
I called out “HONNNEEEEY….. We have someone with good deals on al"
267,"I think that I make it strange for them. The key thing is to break their script.
One time they called me and I asked them if they were calling from Microsoft and they said “no the Windows Technical Department.” At that point I knew it was going to be fun.
I kept my voice calm with a warm tone. I started to ask the other person questions about them. Did they go to college, etc. The person answered honestly, yes, they went to college. I then in a calm tone asked them what things were like when they went home to their family. Did they brag about how many people they had scammed? What did they think"
268,"I got a call from the social security (scared the hell out of me) this foreign speaking lady told me that my social security number had been used by someone other than myself. She wanted to know who had access to my card. Gave me her name, told me to verify that she was who she said she was by looking her name up on the website. I did, and her name was there….very American name…didn't match the dialect. So, I told her I had found it..she thought she had me hooked…she then asked me for my SSN…and I told her that if she was from SS she had my number and if she would give it to me, I would verify"
269,"When I get a scam call, which is all too often, and i’m in the mood…….
I play along with them for a while, perhaps I have a little trouble understanding, or hearing, or whatever to take up time……
when it gets to the “give us your credit card number” moment I’ll finally say:
“my friends and I are having a contest to see who can waste the most scammers’ time, but unfortunately so far I’m not winning”
It’s typical to hear cursing after that, I might respond with “have a nice day”
One idiot tried “Well, I’m wasting more or your time, so it doesn't matter”"
270,"Scammers are worthless and bad, they get you sad and bad after you’ve lost a lot of money and make them happy good and ok. I don’t want to talk to those scammers anymore it’s not happening you’ve to be careful and watchlful
when a scammer posting on my timeline, text you and tel you sort of life and you’ve to act up since you believe and he ask for ssn and account number and routine number and maybe your card details, the last truth was I knew he was a scammer cause it’s my work to get them one after the other. I had to send him fake identity and when he confirmed and it he said not real I gave"
271,"I've had a lot but this is my favorite
Scammer (in a very thick middleeastern accent ): Hello, this is John Johnson of the FBI. There is a warrent for your arrest because a car registered in your name was found at the scene of a major drug bust in Houston, Texas.
Me (who is a minor at the time and can't even rent a car or buy one for that matter): Oh shit. Which car?
Scammer: a car was found at the scene of a major drug bust in Houston, Texas registered in your name
Me: huh, also strange considering I'm in the midwest. Which car of mine did you say again?"
272,"Not me, but my father.
It seemed like one of those calls, asking to buy the product, and you reply by saying its a DND number.
But no.
This time it was a female, and she sounded professional.
So, she called us on our family TELEPHONE. Like this -"
273,"This conversation happened with one of those credit card scammers.
Me: Hello
Scammer: Sir our records indicate that you use a SBI credit card.
Me: Yes
Scammer: Ok, we show that you have 20,000 reward points that have not been unused
Now the fact is, I had never used the card for it to gather 20k reward points.
Me: Yeah so what?
Scammer: Sir if you don't use it immediately, the points will lapse and will become unusable."
274,"Me: Hello?
Scammer: Hello sir, this is Paul Scambos, is your credit here?
Me: Yes.
Scammer: And this is my credit.
Me: What is the last name of this employee?
Scammer: Mike.
Me: Mike? What's that?
Scammer: Mike is my name.
Me: Mike? What's his last name?
Scammer: Mike.
Me: Mike? Mike?
Scammer: Mike.
Me: Mike? Mike?
Scammer: Mike.
Me: Mike?
Scammer: Mike.
Me: Mike? How long did you work for that company?
Scammer: Two months.
Me: Two months? Two months?
Scammer: Two months. And you're a former sales rep for that company.
Me:
Scammer: And that should be the name you want your busin"
275,"I used to constantly instant messages from an unknown numbers telling me that I am the lucky winner of some ridiculous amount of money. I used to disregard this but one Sunday morning I was sitting alone at home with nothing to do, and behold! I get another of those messages
On a whim, I replied to the message, telling the person that I don't need the money and proceeded to tell him that he could shove the money in notes of hundred up his tail pipe.
I immediately got a call back from an absolutely irate man, who abused me with choicest of the words first. I was constantly laughing while he did t"
276,"It was in 2016 when I used to live in the United States. I got phone call from the student loan advisory, asking me if I am interested in reducing my monthly payments on the loan or not. I was like, duhh, I do not have no student loan, but then I convinced myself and replied, ‘yes’. This is to see what they do further.
They sounded so robotic and there were disturbing noises on the background; however, the guy asked me that they have a few basic questions to make sure I qualify. And then he started asking me whether I am enrolled in school or not, followed by how much is my household income. So"
277,"One day, during school, I got a call. It rang three times. I answered.
Hello? The guy asked.
I yelled, “U have small d*c!” And hung up. Did I mention that phones are illegal at my school?
Edit: Thanks for two upvotes!
This wasn’t really a telephone scammer, but I was getting spammed by someone over text. Here is part of the conversation."
278,"This scammer with an east Indian accent threatened to send police if I didn’t pay the dues to CRA. Just to go along with him I agreed to pay the money and asked to give me address to send money. He asked me to go to nearest Shoppers Drug mart and use money gram to send money to a person in Boston, USA. Then I said I owe money to Canada Revenue Agency how come I have to pay someone in USA. He got mad and threatened to send police right away. Then I said to him “ your parents from India must have spent a lot of money to send you to USA to go to University so you can have a good future. Here you"
279,"This happened quite a few years ago. Scammer rings claiming to be from Microsoft’s technical department about a problem they have detected with my computer.
Me: I have registered with the phone preference service and you are breaking the law by calling me.
Scammer: No you haven’t.
Me: I beg your pardon! I most certainly have.
Scammer: No you haven’t. You’re a liar.
Me: I most certainly am not! You’re the liar, you tell lies for a living."
280,"Does a marriage proposal count?
I once had one call with the Microsoft scam. I immediately told him to get a real job and hung up.
I was shocked when he called back…I honestly didn’t think they could do that. My husband could see it in my face and was waving to just hang up again. I didn’t. This time, I told the scammer that what he was doing was cursing his family. When he asked what I thought he was doing, I said lying and cheating. And then I hung up, when he started arguing.
He freaking calls back! Now I’m getting nervous because I’ve had this same phone number for 30 years and don’t need som"
281,"The oddest conversations I’ve had with telephone scammers involve things I don’t need or don’t have. They are overly persistent, thinking if they can just keep me talking, they can make a sale or at least get my card info. They get rude when I tell them why I don’t want or need, or can’t use, what they’re selling.
The most recent call involved one of those Windows tech support scammers. They insisted they could help me, even with my non-Windows phone. I wonder how many people share their card info with these people when all they have is an Android or iPhone and no computer.
The scammer tried eve"
282,"I don’t remember exactly what he was advertising but this was quite an odd and slightly concerning experience. He sounded to be a young man, maybe about 14–16 years old, with a thick Indian accent. He told me about his product for a solid 10 seconds when I interrupted and told him that I wasn’t interested. He then asked me how old I was. I didn’t think this was too odd as many solicitors will ask this to see if they need to talk to your parents instead. I told him how old I was but instead of requesting to talk to my parents after this, he asked me my gender. He specifically asked if I was a m"
283,"Not a telephone one but an email 419 scam..I got an email saying I won a milion pounds or so in an international lottery..I wrote back saying how excited I am ss now I can help poor starving babies in Africa.. Every time they wrote back saying. I needed to give personial banking info. I replied no need as my government is.monitering my account and will take all the money etc..This went back and forth a few times untill they gave up.
I have call display and voice mail so anytime I get a strange number I let it ring into my voive mail and I also google it..Last week I got a one ring call from Bol"
284,"I usually hang up on them but once I played along. It was supposedly from the FBI telling me they had a warrant for my arrest for something I can't remember what? I answered questions with mostly false answers. He told me the warrant could be canceled if I agreed to pay a fine today. When I got tired of listening to him, I suggested without actually saying it, that I was in law enforcement and that I wanted to know more so if he would hang on I wanted to run myself through NCIC to find the warrant and see what it was all about. At which point he hung up.
Another time was all done online with ra"
285,"I don't answer anymore. Can't mess with a robot. But I had a call from Social Security. By the way they will never call you. They contact by mail. Fact. Ok caller ID said social security ,it baffled me but I know they don't call. Nigerian accent.. Big scam country and people .sorry it is true. So I talked awhile and mentioned ur not supposed to call people. He's making excuses so I said sir we now have your information and phone number u cloned from. This is Agent…..never got past that word when phone went click. Haven't had a scam call again. Either I'm paranoid or that whole country of peopl"
286,"Honestly, I still maintain a landline because if I discontinue my 'bundle' price will increase. I still like speaking on my house phone and the system announces the callers and I can hear it and opt to get off my bum to answer. But my phone must have about 10 spam calls per day. Everything to I've won money, IRS nonsense,
school loan problems and all the rest. Unfortunately, Verizon in my area has discontinued its service to BLOCK calls! UGH - was so good when I had it - only have on my cell phone.
But, I would advise people NOT to waste any time with anyone on the other end of the line if you"
287,"Oh, I’ve had a few - my favourite is to either talk complete gibberish, like three or four words, in various accents and moods. that usually does the job after a short while.
Another one is to pretend to be REALLY concerned and keep asking as to what you should do - and when they tell you to sit at your computer and ask for your internet details, sound all enthused, but then say there’s a problem: what’s an internet, please?
The best one was someone insisting that I’d be arrested and the “polices” were coming to my house NOW….I laughed and put on my best bogan accent (kinda like a hillbilly, A"
288,"I live in London and work as UX contractor. So, I spend lot of time answering to recruiters. For years, I receive phone call from agencies which are clearly located overseas - I just do not want to quote a very specific location, easily recognisable due to a very specific accent.
These agencies are usually dodgy. Lack of information about the roles, rude, sticky, harassing, not always relevent, and most of it, insisting to get my right of representation. This right put me off the market as they become solely entitled to represent me for the role.
Sometimes, they insist heavily to get my represen"
289,"The oddest conversation I’ve had with a telephone scammer was with a beautiful “woman” who claimed she was volunteering with a “charity” to help poor children at an orphanage in Nigeria.
I only sent, through Western Union, a few hundred dollars, before finally figuring out that the “woman” was a male scamming me.
Okay, I admit—I’m a sucker, when it comes to what I perceive to be a beautiful woman!
Thanks, Nick, for the request to answer."
290,"My dad makes us laugh for hours at these.
Scammer: Hello Sir. We are from a life insurance company. We have many life insurance plans…
Dad(in a slightly quivering, dull voice): Oh. I am eighty years old. Will you give me life insurance?”
beep
……
Scammer: Sir, would you like a loan?
Dad: Yes, please.
Scammer: How much? We offer…"
291,"I regularly get calls about getting my ducts cleaned. The accents are so thick that i started to refer to Ducks.
Do you pluck and gut them too?
What type of ducks do you clean?
Are they Muscovy or Mallard ducks?
What about Canadian geese?
Do you come to the farm, or do I need to bring the ducks to you?
I would love to farm out this job.
Anything I can deduck?"
292,"Phone rings, I answer and a gentleman informs me that he is calling about the no fault car accident I had. I asked him how he knew about it because it had happened very recently. He told me that they get to hear about these things and asked me if I had had an accident where I wasn’t at fault. I said yes (I lied) and he asked me what had happened. I told him that a fully laden fuel tanker had landed on top of me. He asked if I was hurt and I said I was, it had killed me. The line went dead after a couple of seconds.
The only problem I have now is when I try to use it agian I keep laughing before"
293,"I used to engage them because the longer you can keep them online, the less time they have to bother someone else. I used to pretend I couldn’t hear very well and would misquote what ever they said, forcing them to say it two or three times, then I’d start talking about something unrelated as if I hadn’t understood a word they said. I was fun, but I got bored with it, plus many use bots now, so there’s no real interaction. Nowadays, I keep this page bookmarked: Telephone Prompt: One moment please 02,
and play it when they call. Sometimes I’ll then play music and stop it every once in a while t"
294,"Since I had time that day I thought I will engage him as long as i can. I agreed to send the money to the IRS Scammer and asked where should I send it. He gave the name of a Spanish speaking person in Boston. Then I said “you are an east Indian, how come this person is Spanish speaking??? He said “do as you are told to do or I will send the police”. Then I said” Oh so you are one of those East Indians whose parents spend thousands of rupees of their hard earned money to send you to USA so you can go to University or work so you can have a better life. Your Mother will be ashamed to know that h"
295,"Lately, I have had a couple of conversations with fake IRS agents who left several messages saying they were coming to arrest me any minute. ( The actual IRS makes no such phone calls. ) I called back in response to two of the messages. In one case, I laid a curse on the guy, wishing all his hair would fall out and that he would develop full body itch. In the second conversation I asked the man who answered how his mother felt about having a son who conned vulnerable people out of their money and told him he ought to be ashamed of himself. The scammers must have found me either tiresome or unr"
296,"We were so busy earlier that we couldn’t get registered at any scam site… but in recent days we receive the number of calls from Madhya Pradesh in respect to Learning and Earning… i.e from technical research and analyze… and we ourself own an Govt. authorized study certificate Comprehensive Forex, Indices (Nifty, Dow Jones etc.), & Commodity Technical Analysis and infact own an Merchant Import Exp"
297,"They’re all a bit odd. But the last one was a fellow I met on line who just wants to love and be loved and cuddle and drink wine and watch beautiful sunsets. That’s all he wants in the world except he’d love to know my circumstances. Do I live OK? Or must he try to sweep me out of my misery.
I sincerely thought it might be fun to string him along. But if that sort of thing works on someone, I am appalled. It was soooo boring! Who can talk about love and puppies and kittens and milkshakes and rainbows for hours. It actually wasn’t ever more than 15 minutes. I bore real easily.
So the joke was on"
298,"I had one call me and say that they were going to take me to court, regarding unpaid cash advances. They said they were going to garnash my paycheck and income taxes. He had anger in his voice and was very vulgar. It was crazy because I have never used a Cash Advance Service in my life. I asked him “Where was the last Cash Advanced place does it show I had a balance? There was sounds of papers, then he said we are willing to negotiate a settlement and what was my Bank Card Number. I said it had a 6 in it, and finally told them I would fight it in court. They started cursing and hung up. I call"
299,"My mom had the All Time Classic conversation:
I answered the phone and stayed on the line (holding the Mute button) during the call so I heard EVERYTHING. {Names changed for privacy}
Me: “Hello”
Scammer: “Hello. May I please speak to Mrs. Carol Woll?” (I could TELL by the tone of voice he was a “salesman”)
Me: “Hold on, I’ll get her for you.”
< a minute or two later>
Mom: “Hello”
Scammer: (in an excited and overly friendly voice) “Hi Carol, this is Joe Schmo of the Paradise Travel Agency. How are you doing today?”"
300,"Not me, my sister, and not exactly a conversation, but they never called her back!
For backstory a few months before she had been temporarily out of work, and had started to apply for one of those “PayDay Loans”. She ended up getting a job in time, and never availed herself of the loan, but they nevertheless kept bugging her to complete the transaction and borrow money at an exorbitant interest rate from them.
Now Sis likes her sleep. You don’t wake her up for anything trivial, like anything less than the house afire! One afternoon she felt wiped out and took a nap. The phone rang and she picked"
